,name,score,comment
0,苍甜,4," 老说ZZZQ烦不烦，人漫画66年就有了，70s盛行，那时候还没创造出这4个字。反而在种族隔离那么严重的美国能有第一个黑人超英，这不是牛逼吗。故事情节蛮老套的，但拍得好看啊，那就行了啊。大厅全满，也是个人经历里黑人观众最多的一次。能有黑人的超英，他们真的应该看得很高兴吧。男主蛮帅的。
        "
1,Weirdo,3," 一个科技秒杀钢铁侠的国度，争个国王竟然还是比谁更能打？这也是非常朋克了。
        "
2,同志亦凡人中文站,3," 漫威最zzzq的一部，加了非洲部落文化符号的“王子复仇记”，把人物换成动物就是“狮子王”后传了。总的来说格局还是太小，而且说好的无限战争彩蛋呢？（我就是反感脸谱化zzzq，为什么非要给反派作恶找一些肉眼可笑的崇高动机呢？是全世界欠你还是你自己欠抽？亚洲可不亏欠你黑人什么...）
                
                "
3,维雪魂,5," 我并不讨厌反而还挺喜欢漫威电影讲段子说笑话的水平，但也希望漫威影业能够做出更大胆的突破和尝试。终于他们拍出了《黑豹》这部气质独特、成熟的作品，让入坑五年的我感到非常高兴与欣慰。如果能够鼓励白人的电影可以得到大家的好评与认可，为何鼓励黑人的作品就一定要被“政治正确”四个字来否决呢。
        "
4,萊恩,4," 漫威近來最棒的電影之一，雖然有很多缺點但是瑕不掩瑜。韓國飛車戰的戲份也非常cool。預測在大陸上映之後很多把「反對政治正確」當作自己的「政治正確」的人又要高潮了，希望劉亦菲的《花木蘭》上映之後這些「黃右」也能保持這種態度。另外，反派可真帥呀，應該他來當主角惹。
        "
5,焚紙樓,1," 差點沒在戲院噁心的吐出來。從設定、人物到臉皮厚的程度都活像那種問題特多的起點小說，拽霸酷黑傲天可以施捨白人來顯其大度（然後對自己毀了黃種人的都市一事視若無睹）卻在遠親合法合理繼承王位時，立刻鼓動政變去捍衛純正（=自己家）的王室系譜！連公民的基本素養都沒有了還超級英雄，要不要臉的？
        "
6,Ada Wang,3," 又又又是漫威最佳？谁信谁傻！主角+悬崖 = 升级，编剧看来没看过金庸小说，联想某小品更感觉中美对于非洲“国家”的刻画是两个极端。这次黑蜀黍们不单要black lives matter，还要征服全世界！强烈要求Marvel 总裁将亚洲人主角第一部漫威电影:[黄牛]提上日程
        "
7,罌至,1," 2018賀歲催吐巨獻。為了貫徹黑命貴指導思想，一定要把白人變成弱雞和走狗，黃種人維持活該死全家的炮灰命運。野豬打架一般的視覺體驗，感官和精神雙重污染。遇到歷史遺留繼承權問題必須選擇煽動群眾造反，誰好好說話誰是野豬，哦你們本來就是野豬。確認了，漫威既蠢又壞。
        "
8,杨,5," 1. 看完春晚非洲那个小品再看这个感觉很魔幻 2. 直觉感觉你国网友很多人并不习惯看到优雅睿智的黑人所以一定会找个反政治正确之类的理由打低分 3. 男主大概是西方幻想里完美的第三世界benevolent liberal monarchy 4. 反派真的帅到脑壳疼
        "
9,Vamei,2," 真的是演成部落战争了，场面小气。剧情也很干巴巴。只能期待第二个彩蛋说的新故事了。
        "
